PartyName,PartyTaxCode,PartyLogo,PLFirstName,PLLastName,PartyFoundingDate (dd-mm-yy),PartyPolicy
เพื่อชีวิตใหม่,157,IMG47,ทองประเสริฐ,จันทรอัมพร,20-12-56,1. สนับสนุนให้มีโครงการอาหารกลางวันแก่นักเรียนนักศึกษาภาคบังคับโดยไม่มีค่าใช้จ่ายใดๆ 2. สนับสนุนให้มีโครงการรักษาในโรงพยาบาลของรัฐทุกแห่ง ทุกกรณี โดยไม่มีค่าใช้จ่ายใดๆ 3. สนับสนุนโครงการจัดสรรที่ดินแก่ประชาชนที่ไร้ที่ทำกิน ออกโฉนดที่ดินแก่ที่ครอบครองอย่างเสมอภาค 4. สนับสนุนให้ตั้งกองทุนทำปุ๋ยชีวภาพแจกจ่ายกันเองในกลุ่มเกษตรกรทุกภาคส่วน 5. สนับสนุนให้ตั้งคลินิกแก้จน ให้คำแนะนำปรึกษาแก้ไขปัญหาแก่ประชาชนทุกหมู่เหล่า 6. สนับสนุนให้มีการติดตั้งแผงโซล่าเซลล์ทุกครัวเรือน
เงินเดือนประชาชน,158,IMG48,กานท์ชญา,เทียนแก้ว,25-12-56,NULL
ปฏิรูปไทย,160,IMG49,พัฒนศักดิ์,ปิ่นศิริ,25-02-57,NULL
คนธรรมดาแห่งประเทศไทย,161,IMG50,ธนพร,ศรียากูล,05-03-57,เสนอนโยบายการปฏิรูปเชิงโครงสร้าง เพื่อนำพาประเทศก้าวสู่ความเป็นเสรีประชาธิปไตยอันเป็นสากล ด้วยการแก้ไขปรับปรุงกฎหมายที่ไม่สอดคล้องกับกาลสมัยและหลักนิติธรรม ส่งเสริมให้การกระจายอำนาจการปกครอง เพื่อเพิ่มประสิทธิภาพของรัฐในการตอบสนองความต้องการของประชาชน เพิ่มขีดความสามารถทางเศรษฐกิจและการแข่งขันของประเทศ ด้วยการขจัดการผูกขาดทางการค้า และส่งเสริมการทำเกษตรกรรมแบบอินทรีย์ ส่งเสริมความมั่นคงในชีวิตของประชาชน ด้วยการแก้ไขปัญหาที่ดินทำกิน และรับรองความเสมอภาคระหว่างบุคคลให้เท่าเทียมกัน
รักท้องถิ่นไทย,162,IMG51,จริญญา,รัตน์มณีบดีเดช,08-04-57,NULL
ผึ้งหลวง,164,IMG52,ก้องถพ,วังสุนทร,01-05-57,"นโยบายกองทุนสร้างเศรษฐกิจและสังคม หมู่บ้าน / ชุมชนละ 20 ล้าน | นโยบายกองทุนพัฒนาเกษตรกรไทยสู่สากล | นโยบายปลดหนี้ - บำนาญประชาชน ด้วยไม้เศรษฐกิจ ไผ่กิมซุง 200,000 ล้าน | นโยบายประเทศไทย น้ำไม่ท่วม ไม่แล้ง | นโยบายปรับราคาประเมินที่ดินเกษตรกรรมไร่ละ 1 ล้าน | นโยบาย 1 อำเภอ 1 โรงงานแปรรูปการเกษตร 200 ล้าน | นโยบายประกันราคาสินค้าการเกษตรล่วงหน้า"
มหาประชาชน,165,IMG53,มลฤดี,แย้มเกษสุคนธ์,06-05-57,NULL
เพื่อสหกรณ์ไทย,167,IMG54,วิเชียร,ปิ่ติสิทธิ์,16-05-57,พรรคเพื่อสหกรณ์ไทย“ปฎิรูปประเทศไทยด้วยวิถีสหกรณ์” แนวนโยบาย ( สร้างเกษตรและสถาบันเกษตรกรให้เข้มแข็งด้วยระบบสหกรณ์ตั้งแต่ระดับตำบลถึงระดับชาติ | สร้างสวัสดิการและการเงินชุมชนด้วยระบบสหกรณ์ | สร้างเศรษฐกิจฐานรากให้ยั่งยืนด้วยระบบสหกรณ์ “เกษตรกรอยู่รอด สวัสดิการชุมชนเข้มแข็ง เศรษฐกิจฐานรากยั่งยืน”)
เอกราชไทย,168,IMG55,กัมปนาท,เพิ่มสุข,19-05-57,NULL
ประชาธิปไตยเพื่อประชาชน,169,IMG56,ประมวล,พิมพ์เสน,21-05-57,อำนาจในการปกครองเป็นของประชาชน ระบบเศรษฐกิจใช้หลักสหกรณ์และหลักเศรษฐกิจพอเพียง สร้างสังคม บวร ด้วยหลักพุทธธรรมและรักษาหลักวินัยบัญญัติของพระพุทธเจ้า พัฒนาฝีมือแรงงานให้ตรงและเพียงพอต่อการจ้างงาน คุ้มครองสิทธิเสรีภาพและสวัสดิการแรงงานทั้งขณะจ้างงานและวัยเกษียณ ผู้สูงวัยมีคุณภาพด้วยภูมิปัญญาไทย จัดการศึกษาทั้งในระบบและตลอดชีพ คนไทยต้องมีทักษะในวิชาชีพหลายประเภท การสาธารณสุขให้ใช้ระบบรัฐสวัสดิการ คนไทยสุขภาพดีถ้วนหน้าด้วยกีฬาและสมุนไพรไทย ใช้ระบบไกล่เกลี่ยเบื้องต้น ขจัดกระบวนการยุติธรรมสองมาตรฐาน ยกเลิกการเกณฑ์ทหาร นำทรัพยากรพลังงานของชาติกลับมาเป็นของประชาชน ส่งเสริมนโยบายการรักษาป่าด้วยระบบธนาคารต้นไม้ นำพาประเทศไทยให้เป็นผู้นำในองค์กรระหว่างประเทศฯ
ทางเลือกใหม่,170,IMG57,ราเชน,ตระกูลเวียง,02-08-61,“เงินทุนเจ้าบ้าน เพื่อเศรษฐกิจไทยทุกครัวเรือน” ส่งเสริมเศรษฐกิจในครัวเรือนโดยตรงโดยการกระตุ้นเศรษฐกิจด้วยการให้สินเชื่อผ่านเจ้าบ้านที่มีชื่อในทะเบียนบ้านเพื่อยกระดับการพัฒนาประเทศผ่านทางเจ้าบ้านทุกครัวเรือน ส่งเสริมการเกษตรโดยหลักประเทศไทย ต้องเป็นศูนย์กลางการค้าพืชผลทางการเกษตรโลกและให้ความสำคัญโดยหลักคนไทยต้องมาก่อน (Thai first) เพื่อประชาชนคนไทยทั้งที่อยู่ในประเทศและต่างประเทศทั่วโลกจะได้รับความคุ้มครองดูแลในทุกมิติ จัดตั้งกระทรวงกีฬาโดยแยกการบริหารการกีฬาเป็นกระทรวงโดยเฉพาะ ด้วยตระหนักถึงความสำคัญของการกีฬาต่อการพัฒนาสุขภาพและศักยภาพของคนไทย นโยบายบริการรักษาโรคตลอด 24 ชั่วโมง รวมทั้งนโยบายศูนย์กลางอาหารฮาลาลโลกพรรคทางเลือกใหม่
มติประชา,171,IMG58,อนุชิต,งามเบญจวิชัยกุล,03-08-61,กระจายอำนาจให้ประชาชนมีส่วนร่วมกับกฎหมาย การเมือง การปกครอง ในระบอบประชาธิปไตย โดยผ่านเครื่องมือที่ง่ายและสะดวก เช่น โทรศัพท์มือถือ มากกว่าการทำหน้าที่เพียงไปลงคะแนนเสียงในวันเลือกตั้งเท่านั้น กระจายรายได้ เสริมสร้างเศรษฐกิจจากฐานราก สนับสนุนองค์ความรู้ภูมิปัญญาท้องถิ่น และเทคโนโลยีการจัดการเงินทุนและการตลาด ด้านการศึกษา ส่งเสริมการศึกษาเพื่อใช้ในการประกอบอาชีพ เพื่อให้มีทรัพยากรมนุษย์ที่เหมาะสมกับประเทศในอนาคต มีความสามารถทางภาษาเพื่อใช้ในการสื่อสาร และความสามารถในการคิดวิเคราะห์เพื่อใช้ในการตัดสินใจ
ประชาภิวัฒน์,172,IMG59,สมเกียรติ,ศรลัมพ์,10-08-61,"จัดตั้งสำนักงานเลขานุการพระสังฆาธิการทุกระดับ | หนึ่งจังหวัดหนึ่งพุทธมณฑล | กำหนดค่าตอบแทนสำหรับไวยาวัจกร 9,000 บาทต่อเดือน | จัดตั้งธนาคารพระพุทธศาสนา | ส.ป.ก. เปลี่ยนมือได้ ใช้ประโยชน์อื่นได้หลากหลาย | ตั้งโครงการประเมินกู้แบงค์ได้ | กัญชาล้านไร่กระจายรายได้ให้ประชาชนทุกระดับ | นำเงินดูแลผู้สูงอายุท่านละ 5,000 บาท | สนับสนุนเบี้ยยังชีพสำหรับแม่เลี้ยงเดี่ยว (Single Mom) 10,000 บาท ต่อเดือน | ปรับโครงสร้างหนี้บัตรเครดิตและล้างประวัติระบบเครดิตบูโร"
พลเมืองไทย,173,IMG60,ศิลัมพา,เลิศนุวัฒน์,10-08-61,"ยึดมั่นประชาธิปไตย ตัดสินใจโดยท้องถิ่น | ยุบหน่วยงานภาครัฐที่ล้าหลัง สร้างหน่วยงานที่รับผิดชอบต่อพลเมืองไทย โดยใช้เทคโนโลยีดิจิทัล | ปฏิวัติระบบการป้องกันและปราบปรามการทุจริตตามมาตรฐานสากล เพื่อลงโทษคนทุจริตโดยเร่งด่วน | เพิ่มโอกาสทำมาหากินของทุกคนทุกพื้นที่ด้วยเทคโนโลยีดิจิทัล โดยต่อยอดจากตลาดท้องถิ่นสู่ตลาดสากล | พลเมืองไทยร่วมกันสร้าง ""สังคมสวัสดิการ"" เพื่อดูแลคนจน คนพิการ ผู้ด้อยโอกาส และผู้สูงอายุ | ให้ท้องถิ่นตรวจสอบการทอดทิ้งที่ดิน เพื่อยึดเป็นของรัฐตามกฎหมายที่ดิน และจัดสรรที่ดินให้คนจนที่ยากไร้"
รวมใจไทย,174,IMG61,นพดล,อมรเวช,31-08-61,"มุ่งมั่น นำไทยสู่อุดมการณ์ประชาธิปไตย พร้อมขับเคลื่อนยุทธศาสตร์ ๔ สร้าง เพื่อประชาชนและสังคมที่ดี ( สร้างอำนาจปกครองยุติธรรม, สร้างสังคมยุติธรรม, สร้างนำเศรษฐกิจประชาชน, สร้างชีวิตคนคุณภาพ) | ขับเคลื่อนนโยบายหลัก 5 ทำ สู่มาตรฐานชีวิตที่ดี ( ภาษีมูลค่าเพิ่มเพื่อการครองชีพ 0%, วุฒิการศึกษาค้ำประกันเงินกู้เพื่อการลงทุนประกอบอาชีพ สูงสุด 1 ล้านบาท, โรงพยาบาลตำบล 1 แพทย์ 2 พยาบาล, ธนาคารตำบล เพื่อการลงทุนและการศึกษา, 1 ตำบล 1 ศูนย์ภาษาอาเซียน ) | และขับเคลื่อน 4 ผลักดัน ( นิคมอุตสาหกรรมเกษตรภูมิภาค, กองทุนข้าวและพืชผลหลัก, อุโมงค์ผันน้ำและชลประทานระบบท่อเพื่อเกษตรกรรม, ผลิตภัณฑ์สินค้าเกษตร ทีจีแบรนด์ (TG-BRAND) เพื่อการบริโภคและส่งออกสร้างรายได้)"
พลังธรรมใหม่,175,IMG62,ระวี,มาศฉมาดล,14-09-61,"ปลดแอกประเทศไทยสู่สังคมธรรมาธิปไตย โดย คอร์รัปชั่น 0% -คดีทุจริตไม่มีอายุ (ปี) ความ,ทุจริตเกิน 50 ล้านประหารชีวิต ถ้ารับสารภาพเหลือจำคุกตลอดชีวิต, เอาน้ำมัน-แก๊สของคนไทยคืนมา ราคาต้องเป็นธรรม ลดราคาน้ำมัน 5 บาท/ลิตร แก๊สหุงต้ม 250 บาท/ถัง, หมอประจำตัวทั่วไทย ภายใน 1 ปี คนไทยทุกคนมีหมอประจำตัว ใส่ใจการแพทย์ผสมผสาน จัดการอาหารปลอดภัย, ปรับลด ปลดหนี้ ลดรายจ่าย เพิ่มรายได้ ด้วยเศรษฐกิจพอเพียง ใช้เศรษฐกิจพอเพียง นำเศรษฐกิจไทยสู่ความยั่งยืน, เกษตรกรทุกคนต้องมีที่ดินทำกิน โดยการตั้งเขตเศรษฐกิจพอเพียง ยกระดับราคาสินค้าเกษตรอย่างบูรณาการและยั่งยืน"
ประชาชนปฏิรูป,176,IMG63,ไพบูลย์,นิติตะวัน,03-10-61,น้อมนำคำสอน “พระพุทธเจ้า” มาปฏิบัติ เพื่อแก้ไขปัญหา “ทุกข์ร้อน” ให้ประชาชนอย่างยั่งยืน | ให้พรรคประชาชนปฏิรูปเป็น “องค์กรสาธารณกุศลระดับชาติ” โดยจัดตั้ง “สภาประชาชนปฏิรูปจังหวัด” ทั้ง 77 จังหวัด เพื่อเป็นเครื่องมือของประชาชน ในการตรวจสอบถ่วงดุล เจ้าหน้าที่รัฐ หน่วยงานของรัฐในจังหวัดนั้น และแก้ไขปัญหาทุกข์ร้อนให้ประชาชนด้วยกฎหมายจนถึงที่สุด | เป็น “พรรคฝ่ายคุณธรรม” สร้างมิติใหม่ของพรรคการเมือง เป็นผู้นำในการปฏิรูปพรรค ปฏิรูปการเมือง ปราศจากการให้อามิสสินจ้างอย่างแท้จริง และพรรคประชาชนปฏิรูปดำเนินการด้วยความเปิดเผย โปร่งใส ตรงไปตรงมา โดยมี “นายไพบูลย์ นิติตะวัน” หัวหน้าพรรคเป็นผู้รักษาหลักการของพรรค
อนาคตใหม่,177,IMG64,ธนาธร,จึงรุ่งเรืองกิจ,03-10-61,พรรคอนาคตใหม่จะพัฒนาประเทศไทยให้คนไทยเท่าเทียมกัน ประเทศไทยเท่าทันโลก ด้วยการกระจายอำนาจสู่ในท้องถิ่น สร้างสวัสดิการประชาชนถ้วนหน้า ปฏิวัติการศึกษา ทลายเศรษฐกิจผูกขาด หยุดการเอื้อประโยชน์ระหว่างรัฐบาลและกลุ่มทุนขนาดใหญ่ สร้างระบบขนส่งสาธารณะเพื่อทุกคน ยกระดับการภาคเกษตรสู่เกษตรก้าวหน้าด้วยเทคโนโลยี พัฒนาเศรษฐกิจดิจิทัลเพื่อประชาชน แก้ปัญหาทุจริตด้วยการสร้างรัฐเปิดเผย เปิดรับความแตกต่างหลากหลายในสังคม สร้างสิ่งแวดล้อมยั่งยืน ปฏิรูปกองทัพ ปรับลดงบประมาณกระทรวงกลาโหม เลิกระบบเกณฑ์ทหาร ล้มล้างมรดก คสช. คืนประชาธิปไตยและสิทธิมนุษยชน
ไทยธรรม,178,IMG65,อโณทัย,ดวงดารา,24-10-61,"ด้านการเกษตร : การประกันรายได้พืชผลทางการเกษตรของพี่น้องเกษตรกรต้องได้รับการประกันราคาที่พออยู่พอกินและทำได้จริงๆ | ด้านแรงงาน : ผู้ใช้แรงงานมีชีวิตที่ดีขึ้น พนักงานลูกจ้างชั่วคราว (ซัพคอนแทคน์) ต้องได้รับสิทธิขั้นพื้นฐาน เช่น ค่าแรง, โบนัส, สิทธิการบรรจุต้องเท่าเทียมพนักงานประจำ | ด้านผู้สูงวัย : เพิ่มเบี้ยยังชีพให้มากขึ้น ให้ดำรงชีพได้พออยู่พอกินตามสภาพสังคมปัจจุบัน | ด้านการศึกษา : การศึกษาเรียนฟรี 15 ปี ต้องได้เรียนฟรีจริง ๆ"
เพื่อนไทย,179,IMG66,สิระ,พิมพ์กลาง,24-10-61,เป็นนโยบายด้านเศรษฐกิจ การศึกษาให้ได้รับการศึกษาถึงขั้นปริญญาตรีเป็นอย่างต่ำ ด้านสวัสดิการสังคม ต้องดูแลสังคมผู้สูงวัยให้มีเบี้ยผู้สูงอายุขึ้น ตามสภาวะปัจจุบัน ด้านการเมืองไม่ฝักใฝ่ฝ่ายการเมืองใดการเมืองหนึ่ง เน้นความสามัคคีของคนในชาติ ศรัทธาในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นพระประมุข และจะดำเนินนโยบายทุกอย่างบนความเป็นไปได้โดยไม่ขัดต่อแผนพัฒนาประเทศ 20 ปี
ไทยศรีวิไลย์,180,IMG67,มงคลกิตต์,สุขสินธารานนท์,24-10-61,ฟื้นเศรษฐกิจ ซ่อมฟิตระบบราชการ ปราบโกง โปร่งใส พรรคไทยศรีวิไลย์
รวมพลังประชาชาติไทย,181,IMG68,จัตุมงคล,โสณกุล,26-10-61,"ย้ำปฏิรูป: ที่สำคัญเอาทรัพยากรและอำนาจจากส่วนกลางให้จังหวัด ซึ่งมีผู้ว่าราชการที่ประชาชนเห็นชอบ | เศรษฐกิจชาวบ้านสำคัญที่สุด: ให้เกษตรกรขายพืชผลได้กำไรร้อยเปอร์เซ็นต์ของต้นทุน, ส่งเสริมเกษตรอินทรีย์-ปลอดสารพิษ, มีเขตพิเศษ “ทุ่งกุลา” เป็นต้นแบบ “พอเพียง”, ปลูกไม้ยืนต้นเพื่อใช้หรือขายได้, เปลี่ยนการท่องเที่ยวเป็นของชุมชนและครัวเรือนแทนที่เป็นเพียงของภาคธุรกิจ,จัดกองทุนให้ชาวบ้านกู้ยืมเพื่อที่อยู่อาศัยและพ้นจากหนี้นอกระบบ, เรียนอาชีวะและวิชาชีพฟรี จบแล้วรายได้ดี | จัดแพทย์และพยาบาลประจำรพ.สต., ยกคุณภาพ รพ. ชุมชนให้เท่า รพ. จังหวัด, อบรม อสม. มาบริบาลผู้สูงวัยและผู้พิการ โดยมีค่าตอบแทน"
สยามพัฒนา,182,IMG69,บุญส่ง,เกิดหลำ,26-10-61,"ส่งเสริมและพัฒนาการศึกษาให้มีการเรียนการสอน 3 ภาษาในสถานศึกษา (ไทย,จีน,อังกฤษ) | กำหนดราคาพืชเศรษฐกิจทุกชนิดส่งเสริมและพัฒนาเศรษฐกิจแบบเกินดุล | ด้านการปกครอง ให้มีการกระจายอำนาจสู่ท้องถิ่นอย่างแท้จริง | ด้านยุติธรรม ปฏิรูปกฎหมายที่ไม่เป็นธรรม เพื่อให้เกิดประโยชน์กับพี่น้องประชาชน | ด้านทรัพยากรธรรมชาติ บริหารจัดการน้ำอย่างเป็นระบบ แสวงหาพลังงานทดแทน | ด้านสังคม จัดให้เป็นรัฐสวัสดิการอย่างสมเหตุสมผล โดยเพิ่มเบี้ยยังชีพผู้สูงอายุและคนพิการอย่างยั่งยืน"
เพื่อคนไทย,183,IMG70,วิทยา,อินาลา,29-10-61,ใช้ศาสตร์พระราชาเพื่อเป็น : ตำบลอัจฉริยะ 4 สร้าง : 5 เป้าหมาย ( สร้างปัญญา : โรงเรียนอัจฉริยะ | สร้างเศรษฐกิจ : คนไทยอยู่ดีมีสุข เกษตรกร และ SME ทุกคนมีบัตรคนรวย กองทุนบำเหน็จบำนาญเกษตรกร กองทุนบำเหน็จบำนาญวิสาหกิจขนาดกลางและขนาดย่อม (SMES) | สร้างสุขภาพ : คนไทย 90 ปี สุขภาพดีถ้วนหน้า | สร้างวัฒนธรรมสร้างชาติ : ครอบครัวไทย มีความอบอุ่น ชุมชนไทยเข้มแข็ง ลดความเหลื่อมล้ำในสังคม )
พลังปวงชนไทย,184,IMG71,นิคม,บุญวิเศษ,29-10-61,"เสริมฐานรากเก่าสร้างฐานรากใหม่ เพื่อประเทศไทยมั่นคงเศรษฐกิจมั่งคั่งและยั่งยืน | เปิดประเทศไทย 24 ชั่วโมง | 30 บาท รักษาทั่วไทย O-VOG หนึ่งผลิตภัณฑ์ หนึ่งสินค้าชุมชน | เกษตรกรปลอดหนี้ภายในสามปีสร้างฐานะดีร่ำรวยภายใน 5 ปี ส่งเสริมให้เกษตรกรไทยหายจนอย่างยั่งยืน | นิรโทษกรรม นักธุรกิจเก่าด้วยการทบทวนปลดเครดิตบูโร | จัดสรรที่ดินรัฐให้ประชาชนได้อยู่อาศัยและทำกิน | สวัสดิการประชาชนเกิดจากการใช้จ่าย มีรายได้คืน, พนักงานบริษัทต้องมีสวัสดิการเทียบเท่าข้าราชการ"
พลังไทยรักไทย,185,IMG72,คฑาเทพ,เตชะเดชเรืองกุล,30-10-61,"พักหนี้เกษตรกร 3 ปี ตั้งกองทุนหมู่บ้าน ๆ ละ 3,000,000 พร้อมต่อยอด OTOP 30 บาทรักษาทุกโรคได้จริง พลังแผ่นดินปลอดยาเสพติด อิสานเขียวภาค 2 เมกโปรเจค โขงชีมูลปิงวังยมน่าน พื้นที่การเกษตรมีน้ำตลอดปี เปลี่ยน สปก. เป็นโฉนด ใต้ร่มเย็นเน้นการพัฒนาฟื้นฟูคุณภาพชีวิต เพิ่มสวัสดิการพื้นฐานผู้สูงอายุ คนพิการและผู้ด้อยโอกาสให้สูงขึ้น ตั้งกองทุนแห่งรัฐพัฒนาประเทศ ตั้งบรรษัท เกษตรแห่งชาติจำกัด (มหาชน) สร้างท่าเรือน้ำลึกอ่าวไทยอันดามันเชื่อมด้วยรถไฟรางคู่ 1 ตำบล 1 ธนาคาร 1 จังหวัด 1 แหล่งท่องเที่ยว 1 ตำบล 1 ทุน ทุนการศึกษาจบปริญญาตรีฟรี มีงานทำ"
พลังชาติไทย,186,IMG73,ทรงกลด,พิพย์รัตน์,31-10-61,"“หาเงินก่อน ทำนโยบาย” เกิดขึ้นเป็นครั้งแรกของประเทศไทย จึงไม่เหมือนใครหรือพรรคใดเพราะ “เงิน” เท่านั้นที่จะแก้ไขปัญหาของประเทศได้ทั้งหมด “พรรคพลังชาติไทย” มี 5 โครงการหาเงิน (กกต.รับรองและถูกต้องตามกฎหมายแล้ว) คือ ขุดคลองไทย, เปิดสถานบันเทิงครบวงจร เช่น ลาสเวกัส, ทำเกษตรอินทรีย์ทั้งประเทศ, เปลี่ยนแปลงการท่องเที่ยวเป็นมาตรฐานสากล และเปิดศูนย์กลางการเงินของโลก รวมรายได้มากมายมหาศาลกว่า 18 ล้านล้านบาท/ปี เป็น “รัฐสวัสดิการ” เช่น ผู้สูงอายุได้ 5,000 บาทต่อเดือน / อสม., อปพร. ...ได้ 5,000 บาทต่อเดือน / สร้างร้านค้าตำบลให้ชาวบ้านทั้ง 7,255 ตำบลทั้งประเทศ และพัฒนาคุณภาพชีวิต เช่น เลิกหนี้ (ล้างหนี้ - ยกหนี้ – ปลดหนี้) ให้ประชาชน"
ประชาชาติไทย,187,IMG74,วันมูหะมัดนอร์,มะทา,31-10-61,"แก้ปัญหาของชาติด้วยวิถีทางประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุขที่ธำรงไว้ซึ่งหลักนิติธรรม ส่งเสริมสังคมพหุวัฒนธรรมที่เคารพให้เกียรติในความแตกต่างหลากหลายทางวัฒนธรรม ยกเลิกและปฏิรูปกฎหมาย กระบวนการยุติธรรม ระบบงบประมาณและภาษีอากรให้เกิดความเป็นธรรม ส่งเสริมระบบรัฐสวัสดิการด้านการศึกษา การรักษาพยาบาลฟรี ระบบบำนาญและสวัสดิการ (เบี้ยผู้สูงอายุ (ปี) 3,000 บาท / เดือน) ยกระดับโครงสร้างพื้นฐานด้านสาธารณูปโภคและคมนาคม แก้ไขปัญหาความยากจน หนี้สิน ความเหลื่อมล้ำทั้งด้านเศรษฐกิจ, สิทธิเสรีภาพ, กฎหมาย, ศักดิ์ศรีและเชิงพื้นที่ ขจัดการทุจริต เกษตรกรมีที่ดินทำกินและเป็นเจ้าของกรรมสิทธิ์ในที่ดิน แก้ไขปัญหาน้ำทั้งระบบ สินค้าเกษตรให้ขายได้ราคาสูงสุด ส่งเสริมการท่องเที่ยวและการกีฬา แก้ปัญหายาเสพติด"
แผ่นดินธรรม,188,IMG75,กรณ์,มีดี,02-11-61,ธนาคารพุทธธนาคารเพื่อชาวพุทธ | บัญญัติให้พระพุทธศาสนาเป็นศาสนาประจำชาติ | เพิ่มวิชาสมาธิภาวนาเป็นวิชาบังคับในโรงเรียนทุกระดับ | ยกเลิกกองทุนน้ำมันดีเซลและลดราคาน้ำมันทุกชนิด | 1 จังหวัด 1 โรงพยาบาลแพทย์แผนไทย | ตั้งกระทรวงชาวนาและกระทรวงยางพารา | แก้กฎหมายความเร็วรถให้เหมาะกับสภาพรถและถนนปัจจุบัน | พักใช้ข้อมูลเครดิตบูโร 1 ปี | นิคมไทยพุทธ 3 จังหวัดชายแดนใต้ | ให้โรงเรียนพระปริยัติสามัญเป็นโรงเรียนของรัฐ
คลองไทย,189,IMG76,สายัณห์,อินทรภักดิ์,02-11-61,ผลักดันโครงการคลองไทยด้วยการเสนอร่างพระราชบัญญัติคลองไทยในสภาผู้แทนราษฎรให้มีกฎหมายรองรับโครงการคลองไทย เพื่อนำรายได้จากโครงการคลองไทยไปพัฒนาเศรษฐกิจและสังคมของประเทศให้มีความมั่นคง มั่งคั่ง ยั่งยืน | แก้ไขปัญหาของประเทศด้านพลังงาน ที่ดินทำกิน ยาเสพติด การทุจริตคอรัปชั่น การค้ามนุษย์ | พัฒนาประเทศตามแผนพัฒนาเศรษฐกิจและสังคมแห่งชาติและแผนงบประมาณรายจ่ายของรัฐให้เกิดประสิทธิภาพสูงสุด
ประชาธรรมไทย,190,IMG77,พิเชษฐ,สถิรชวาล,02-11-61,นโยบายยกระดับคุณภาพชีวิตประชาชนและเพิ่มรายได้ให้กับประชาชนอย่างเท่าเทียมกันในด้านการศึกษา สาธารณสุข ประกันอนาคตชีวิตให้แก่เด็กแรกเกิด สร้างความเสมอภาคและสิทธิเสรีภาพอันเท่าเทียมกัน ให้กับประชาชนทุกเพศ ประกอบกับเพิ่มคุณภาพชีวิตให้กับคนพิการและผู้สูงวัยในด้านการศึกษา คนไทยต้องได้เรียนฟรีอย่างคุณภาพ อย่างเท่าเทียมกัน ตลอดจนพัฒนาคุณภาพชีวิตครูและบุคลากรทางการศึกษาทั้งภาครัฐและเอกชน ด้านเศรษฐกิจ การเพิ่มมูลค่าให้กับสินค้าเกษตร รวมถึงสนับสนุนทุกกลุ่มอาชีพ เปิดตลาดส่งออกใหม่ ขยายตลาดการท่องเที่ยวให้ดีขึ้น ขยายความสัมพันธ์ที่ดีขึ้นกับนานาประเทศเพื่อเพิ่มตลาดการลงทุน การส่งออก และการท่องเที่ยว
ประชานิยม,191,IMG78,ยงยุทธ,เทพจำนงค์,07-11-61,"ให้นายจ้างจ่ายเงินประกันสังคมแทนลูกจ้างทั้งหมด ยกเลิกหักเงินเดือนลูกจ้างร้อยละ 5 ที่นำส่งประกันสังคมสูงสุด 9,000 บาท / คน / ปี, ค่าแรงขั้นต่ำ 360 บาท / คน / วัน ทั่วประเทศ, หยุดกองทัพซื้ออาวุธ 10 ปี นำเงิน 400,000 ล้านบาท ไปพัฒนาประเทศ, เปลี่ยนงบซื้อรถถัง ไปซื้อรถโดยสารปรับอากาศ 10,000 คัน เปลี่ยนงบซื้อรถถัง ไปซื้อรถไถนา, รถดำนา, รถเกี่ยวนวดข้าวประจำหมู่บ้าน และรถตัดอ้อยให้ชาวนา ชาวไร่ใช้ฟรี รับซื้อน้ำยางพาราสด 80 บาท / กิโลกรัม, ผลปาล์มสด 4 บาท / กิโลกรัม, สร้างโรงงานผลิตหมอนยางพารา, ยางรถยนต์ สร้างอาคารรักษาพยาบาลในโรงพยาบาลเพิ่ม 100,000 เตียง, ธนาคารครู, รถตู้ รับ - ส่ง นักเรียน ประจำตำบล"
พลังประชารัฐ,192,IMG79,อุตตม,สาวนายน,07-11-61,สวัสดิการประชารัฐ เพื่อขจัดความเหลื่อมล้ำผ่านบัตรประชารัฐ การให้สวัสดิการรายกลุ่ม ลดหนี้สร้างเงินออม และช่วยเหลือด้านที่อยู่อาศัยและที่ทำกิน | สังคมประชารัฐ เพื่อสร้างสังคมสงบสุข เข้มแข็งแบ่งปัน ผ่านการพัฒนา การศึกษา การกระจายความเจริญ การสร้างเมืองอัจฉริยะสีเขียว การพัฒนาชุมชนสีขาว กรุงเทพ 5.0 | เศรษฐกิจประชารัฐ เพื่อสร้างความสามารถและโอกาสที่เท่าเทียม ผ่านการยกระดับความสามารถผู้ผลิต การเกษตรประชารัฐ การท่องเที่ยวชุมชนและเศรษฐกิจสร้างสรรค์ เศรษฐกิจชีวภาพ การพัฒนาโครงสร้างพื้นฐานแห่งอนาคต และการลดอุปสรรคในการดำเนินธุรกิจ
เศรษฐกิจใหม่,193,IMG80,มิ่งขวัญ,แสงสุวรรณ,08-11-61,"ได้เวลาความสุขของคนไทยทั้งประเทศด้วยระบบเศรษฐกิจใหม่ ( วางตำแหน่งประเทศไทย เพื่อความได้เปรียบและมีศักยภาพสูงในการแข่งขัน, หารายได้เข้าประเทศโดยสร้างระบบการเงินเสรี, ศูนย์กลางการเงิน, พลังงาน, การแพทย์ และอื่นๆ, ดูแลความมั่นคงปลอดภัยในชีวิตและทรัพย์สินของคนไทย, สร้างความสัมพันธ์อันดี ทั้งการค้า การลงทุน การทูตกับนานาชาติ)"
